"Begin Time - msec","End Time - msec","Sequence","Sequence_number","Sequence_individual"
783220,785250,"","1","Fajar"
853280,855950,"","2","Fajar"
924160,926870,"","3","Fajar"
967210,970130,"","4","Fajar"
1007910,1010220,"","5","Fajar"
1086730,1089930,"","6","Fajar"
1159020,1161990,"","7","Fajar"
1205310,1208680,"","8","Fajar"
1251260,1254260,"","9","Fajar"
1295660,1298630,"","10","Fajar"
1348720,1351490,"","11","Fajar"
1400430,1403110,"","12","Fajar"
1455680,1458680,"","13","Fajar"

