"Begin Time - msec","End Time - msec","Sequence","Sequence_number","Sequence_individual"
736570,739230,""," 1","Fajar"
876940,879100,""," 2","Fajar"
968670,970200,""," 3","Fajar"
1038460,1041000,""," 4","Fajar"

