"Begin Time - msec","End Time - msec","Sequence","Sequence_number","Sequence_individual","Sequence_movement"
976686,978848,""," 1","Fajar",""
1068599,1071224,""," 2","Fajar",
1184199,1187099,""," 3","Fajar","56_LOCOMOTE_forelimb_swing"
1305473,1308135,""," 4","Fajar","112_LOCOMOTE_Clamber_walk"
1379446,1382508,""," 5","Fajar","112_LOCOMOTE_Clamber_walk"
1433523,1436323,""," 6","Fajar","4_Bimanual_forelimb_suspend"

