"Begin Time - msec","End Time - msec","Sequence","Sequence_number","Sequence_individual"
963320,965100,""," 1","Baju"
1011140,1012800,""," 2","Baju"
1082760,1084800,""," 3","Baju"
1140900,1143060,""," 4","Baju"
1204240,1206260,"","5","Baju"
1273140,1274860,"","6","Baju"

