"Begin Time - msec","End Time - msec","Sequence","Sequence_number","Sequence_individual"
856577,858555,"","1","Baju"
931444,933599,"","2","Baju"
982888,985121,"","3","Baju"
1064466,1066566,"","4","Baju"
1123144,1125621,"","5","Baju"
1181532,1183621,"","6","Baju"
1232410,1234799,"","7","Baju"
1279755,1282155,"","8","Baju"
1324044,1326522,"","9","Baju"
1374766,1377177,"","10","Baju"

