"Begin Time - msec","End Time - msec","Sequence","Sequence_number","Sequence_individual"
979980,981170,""," 1","Fajar"
1183630,1185440,""," 2","Baju"
1233160,1234870,""," 3","Baju"
1292430,1293880,""," 4","Baju"
1340160,1342230,""," 5","Baju"
1390760,1393160,""," 6","Baju"
1442240,1444100,""," 7","Baju"

