"Begin Time - msec","End Time - msec","Sequence","Sequence_number","Sequence_individual","Sequence_movement"
856577,858555,"","1","Baju","4_Bimanual_forelimb_suspend"
931444,933599,"","2","Baju","56_LOCOMOTE_forelimb_swing"
982888,985121,"","3","Baju","56_LOCOMOTE_forelimb_swing"
1064466,1066566,"","4","Baju","110_LOCOMOTE_Drop_forelimb_swing"
1123144,1125621,"","5","Baju","56_LOCOMOTE_forelimb_swing"
1181532,1183621,"","6","Baju","111_LOCOMOTE_Vertical_climb"
1232410,1234799,"","7","Baju","26_LOCOMOTE_Bimanual_pull_up"
1279755,1282155,"","8","Baju","56_LOCOMOTE_forelimb_swing"
1324044,1326522,"","9","Baju","56_LOCOMOTE_forelimb_swing"
1374766,1377177,"","10","Baju","56_LOCOMOTE_forelimb_swing"

