"Begin Time - msec","End Time - msec","Sequence","Sequence_number","Sequence_individual"
976686,978848,""," 1","Fajar"
1068599,1071224,""," 2","Fajar"
1184199,1187099,""," 3","Fajar"
1305473,1308135,""," 4","Fajar"
1379446,1382508,""," 5","Fajar"
1433523,1436323,""," 6","Fajar"

