"Begin Time - msec","End Time - msec","Sequence","Sequence_number","Sequence_individual"
1205440,1207720,""," 1","Baju"
1289520,1291560,""," 2","Baju"
1343859,1346179,""," 3","Baju"
1396860,1399570,""," 4","Baju"
1484320,1486870,""," 5","Baju"
1536350,1539140,""," 6","Baju"
1579200,1580960,""," 7","Baju"
1611870,1613610,""," 8","Baju"
1669920,1672640,""," 9","Baju"

