"Begin Time - msec","End Time - msec","Sequence","Sequence_number","Sequence_individual"
677550,679660,""," 01","Fajar"
1110500,1112700,""," 02","Fajar"
1170835,1174445,""," 03","Fajar"
1234200,1236650,""," 04","Fajar"
1274070,1276630,""," 05","Fajar"
1342090,1344820,""," 06","Fajar"
1426500,1428830,""," 07","Fajar"
1496100,1498530,""," 08","Fajar"
1542210,1544680,""," 09","Fajar"
1621310,1624110,""," 10","Fajar"

