"Begin Time - msec","End Time - msec","Sequence","Sequence_number","Sequence_individual","Sequence_movement"
1015595,1017345,"","1","Baju","56_LOCOMOTE_forelimb_swing"
1051795,1053715,"","2","Baju","110_LOCOMOTE_Drop_forelimb_swing"
1161535,1163265,"","3","Baju","111_LOCOMOTE_Vertical_climb"
1226060,1227950,"","4","Baju","56_LOCOMOTE_forelimb_swing"
1306390,1308380,"","5","Baju","31_LOCOMOTE_Brachiate"
1351245,1353345,"","6","Baju","35_LOCOMOTE_Flexed_bipedal_walk"
1436610,1438540,"","7","Baju","56_LOCOMOTE_forelimb_swing"

