"Begin Time - msec","End Time - msec","Sequence","Sequence_number","Sequence_individual","Sequence_movement"
1205440,1207720,""," 1","Baju","31_LOCOMOTE_Brachiate"
1289520,1291560,""," 2","Baju","31_LOCOMOTE_Brachiate"
1343859,1346179,""," 3","Baju","112_LOCOMOTE_Clamber_walk"
1396860,1399570,""," 4","Baju","111_LOCOMOTE_Vertical_climb"
1484320,1486870,""," 5","Baju","111_LOCOMOTE_Vertical_climb"
1536350,1539140,""," 6","Baju","35_LOCOMOTE_Flexed_bipedal_walk"
1579200,1580960,""," 7","Baju","26_LOCOMOTE_Bimanual_pull_up"
1611870,1613610,""," 8","Baju","112_LOCOMOTE_Clamber_walk"
1669920,1672640,""," 9","Baju","35_LOCOMOTE_Flexed_bipedal_walk"

