"Begin Time - msec","End Time - msec","Sequence","Sequence_number","Sequence_individual"
1015595,1017345,"","1","Baju"
1051795,1053715,"","2","Baju"
1161535,1163265,"","3","Baju"
1226060,1227950,"","4","Baju"
1306390,1308380,"","5","Baju"
1351245,1353345,"","6","Baju"
1436610,1438540,"","7","Baju"

