"Begin Time - msec","End Time - msec","Sequence","Sequence_number","Sequence_individual","Sequence_movement"
677550,679660,""," 01","Fajar","56_LOCOMOTE_forelimb_swing"
1110500,1112700,""," 02","Fajar","111_LOCOMOTE_Vertical_climb"
1170835,1174445,""," 03","Fajar","110_LOCOMOTE_Drop_forelimb_swing"
1234200,1236650,""," 04","Fajar","110_LOCOMOTE_Drop_forelimb_swing"
1274070,1276630,""," 05","Fajar","111_LOCOMOTE_Vertical_climb"
1342090,1344820,""," 06","Fajar","110_LOCOMOTE_Drop_forelimb_swing"
1426500,1428830,""," 07","Fajar","111_LOCOMOTE_Vertical_climb"
1496100,1498530,""," 08","Fajar","31_LOCOMOTE_Brachiate"
1542210,1544680,""," 09","Fajar","31_LOCOMOTE_Brachiate"
1621310,1624110,""," 10","Fajar","31_LOCOMOTE_Brachiate"

