"Begin Time - msec","End Time - msec","Sequence","Sequence_number","Sequence_individual","Sequence_movement"
979980,981170,""," 1","Fajar","56_LOCOMOTE_forelimb_swing"
1183630,1185440,""," 2","Baju","111_LOCOMOTE_Vertical_climb"
1233160,1234870,""," 3","Baju","111_LOCOMOTE_Vertical_climb"
1292430,1293880,""," 4","Baju","31_LOCOMOTE_Brachiate"
1340160,1342230,""," 5","Baju","111_LOCOMOTE_Vertical_climb"
1390760,1393160,""," 6","Baju","111_LOCOMOTE_Vertical_climb"
1442240,1444100,""," 7","Baju","56_LOCOMOTE_forelimb_swing"

