"","time_ms","envelope","f0","speed","acc"
"1",0,0,0,0.00204264742489201,0
"2",10,0,0,0.00211228974652592,0.000174533782212007
"3",20,0,0,0.00218193206815984,0.000349067564424014
"4",30,0,0,0.00227037748384031,0.000355995072003098
"5",40,0,0,0.00235882289952077,0.000362922579582183
"6",50,0.0306745968273645,0,0.00253242361726166,0.000370768732293609
"7",60,0.0343251561985849,0,0.00270602433500256,0.000378614885005035
"8",70,0.0383281423715227,0,0.00292224993914877,0.00039314395399874
"9",80,0.0422509318022523,0,0.00313847554329499,0.000407673022992446
"10",90,0.0451425925133755,0,0.00339453222478058,0.00042295171103571
"11",100,0.0461999680821216,0,0.00365058890626616,0.000438230399078974
"12",110,0.0454307301289217,0,0.00392698354312142,0.000452983907754541
"13",120,0.0436153116235664,0,0.00420337817997667,0.000467737416430109
"14",130,0.0420346028562358,0,0.00448883328725121,0.000479242952174903
"15",140,0.0415296837149858,0,0.00477428839452575,0.000490748487919697
"16",150,0.0421561238275587,0,0.00505823498511012,0.000498096000838427
"17",160,0.0433741815988866,0,0.0053421815756945,0.000505443513757158
"18",170,0.0443955528239848,0,0.00561846938990105,0.000508317280357337
"19",180,0.044508879254714,410.723478529188,0.0058947572041076,0.000511191046957516
"20",190,0.0432482032921611,412.469640661169,0.00615982233370131,0.000510256980542013
"21",200,0.0414256851608805,415.854972556785,0.00642488746329502,0.000509322914126509
"22",210,0.0423443612817711,420.262212682653,0.00667784772994337,0.000505672139872137
"23",220,0.0507657449853262,422.79591539171,0.00693080799659172,0.000502021365617766
"24",230,0.0700587370822752,423.464027687355,0.00717258561937255,0.000496924036282952
"25",240,0.0981161390839376,422.361444543909,0.00741436324215339,0.000491826706948139
"26",250,0.127408346873834,422.097408718533,0.00764675651088941,0.000486446173273323
"27",260,0.149681729042536,422.816193757234,0.00787914977962544,0.000481065639598506
"28",270,0.161061025269215,424.433192500362,0.00810451468240756,0.000476331654009622
"29",280,0.163999071685753,425.683582447193,0.00832987958518968,0.000471597668420738
"30",290,0.163884793960839,426.209408230252,0.0085508754168466,0.000468138115460455
"31",300,0.164873104565559,425.62922611943,0.00877187124850352,0.000464678562500172
"32",310,0.167705323800341,424.337154812283,0.00899121242856373,0.000462826272186763
"33",320,0.171096416085161,422.815012613932,0.00921055360862394,0.000460973981873354
"34",330,0.174553146125493,422.032224301939,0.0094308182967857,0.000460807227577744
"35",340,0.179010287841266,421.907732928241,0.00965108298494745,0.000460640473282135
"36",350,0.185534642993055,422.27906064634,0.00987464062186368,0.000462021054384914
"37",360,0.194062015263676,422.444652416088,0.0100981982587799,0.000463401635487693
"38",370,0.202977978533051,422.50171689634,0.0103270137241573,0.000466014674830337
"39",380,0.20984853802293,422.397178367332,0.0105558291895346,0.00046862771417298
"40",390,0.21231035682503,422.335431134259,0.0107912882023943,0.000472017295380501
"41",400,0.208665382282104,422.130625406901,0.011026747215254,0.000475406876588021
"42",410,0.19732953604548,421.92212705259,0.0112695133605041,0.000479010099465565
"43",420,0.176822613570404,421.615376790365,0.0115122795057543,0.000482613322343108
"44",430,0.148588897224565,421.597028944227,0.0117621882550045,0.000485794533360721
"45",440,0.119367581643519,421.43440190068,0.0120120970042547,0.000488975744378333
"46",450,0.0978803614673145,420.949625651042,0.0122680840614557,0.000491062562131518
"47",460,0.0895673484647154,419.250810411241,0.0125240711186568,0.000493149379884703
"48",470,0.0936003242099022,416.950266520182,0.0127841582343342,0.000493470607206656
"49",480,0.104275736718657,414.465322989005,0.0130442453500117,0.000493791834528609
"50",490,0.115300554039772,412.754121003328,0.0133055860986737,0.000491716414423137
"51",500,0.124264077549713,411.517840350116,0.0135669268473358,0.000489640994317665
"52",510,0.132683454783699,410.730303729022,0.0138259093232909,0.000484616306384054
"53",520,0.141211743136714,410.166859944661,0.0140848917992461,0.000479591618450443
"54",530,0.147977212234891,409.879689534505,0.0143372906367771,0.000471179087062265
"55",540,0.150711808414253,409.567914044416,0.0145896894743081,0.000462766555674087
"56",550,0.148989915778937,409.476322880498,0.0148308571464879,0.000450672993573284
"57",560,0.144441590345356,409.433683042173,0.0150720248186677,0.000438579431472482
"58",570,0.139841623231696,409.932582148799,0.015297108339284,0.000422683282415821
"59",580,0.137658933176559,410.051696777344,0.0155221918599002,0.000406787133359159
"60",590,0.138929937897786,410.137048791956,0.0157263614579896,0.000387159637586026
"61",600,0.142806518579112,409.684891312211,0.015930531056079,0.000367532141812894
"62",610,0.147416507433826,409.604573567708,0.0161092102019268,0.000344454225932677
"63",620,0.150908936715189,409.791109438296,0.0162878893477745,0.00032137631005246
"64",630,0.152595084337693,410.302536575883,0.0164369801828122,0.000295352444412074
"65",640,0.153078715569573,410.794783980758,0.01658607101785,0.000269328578771688
"66",650,0.153679115412048,411.145097520616,0.0167021749870515,0.000241098669031086
"67",660,0.155550912238835,411.45687979239,0.0168182789562531,0.000212868759290484
"68",670,0.158792783944702,411.52736070421,0.0168989187073561,0.000183418245286656
"69",680,0.162020546581028,411.002436885127,0.0169795584584591,0.000153967731282828
"70",690,0.162862139965796,410.028935185185,0.017023412352569,0.000124534457385648
"71",700,0.159226318780572,408.997774477358,0.0170672662466789,9.51011834884687e-05
"72",710,0.149917528839317,408.896789550781,0.0170744293629254,6.71754903948673e-05
"73",720,0.13503983300839,409.92864425094,0.0170815924791718,3.92497973012658e-05
"74",730,0.116542996819051,411.977233886719,0.0170538755122917,1.45621178827971e-05
"75",740,0.0986174169925169,414.013012921369,0.0170261585454116,-1.01255615356716e-05
