"","time_ms","envelope","f0","speed","acc"
"1",0,0,0,0.00203546773391182,0
"2",10,0,352.275177001953,0.00212418660384773,0.000224012284676825
"3",20,0,368.388824462891,0.00221290547378364,0.000448024569353649
"4",30,0,370.174530029297,0.00232591175637727,0.000456709797419997
"5",40,0,372.692225138346,0.00243891803897091,0.000465395025486346
"6",50,0.0323519791919577,375.209920247396,0.00266147254268674,0.000475058085826964
"7",60,0.0398182864536655,377.727615356445,0.00288402704640256,0.000484721146167583
"8",70,0.0522523314100975,380.245310465495,0.00316232700624811,0.000502381459698427
"9",80,0.0663698769215329,382.763005574544,0.00344062696609366,0.000520041773229271
"10",90,0.0769934284698908,385.280700683594,0.00377097058692517,0.000537847457723246
"11",100,0.0807557741212064,395.69970703125,0.00410131420775669,0.000555653142217221
"12",110,0.0782123744569155,381.944274902344,0.00445817131743226,0.000571622748223507
"13",120,0.0735076120375019,397.469146728516,0.00481502842710784,0.000587592354229793
"14",130,0.071380044587372,391.571563720703,0.0051822327697276,0.000597904051280683
"15",140,0.0733289517063469,380.452697753906,0.00554943711234736,0.000608215748331573
"16",150,0.0779502971190193,375.137634277344,0.00591001022164309,0.000611454753967685
"17",160,0.0828255167303504,386.849456787109,0.00627058333093881,0.000614693759603798
"18",170,0.0864376388073025,394.804260253906,0.00661330033190294,0.000610345792512598
"19",180,0.0878285722590625,394.168731689453,0.00695601733286707,0.000605997825421399
"20",190,0.0866101620711823,399.690795898438,0.00727278497798154,0.000594998807366948
"21",200,0.0838552794889836,399.690338134766,0.00758955262309601,0.000583999789312497
"22",210,0.0818906040947466,408.286224365234,0.00787605238161392,0.00056804219829919
"23",220,0.0841017238646768,411.024871826172,0.00816255214013183,0.000552084607285884
"24",230,0.0934048641723061,412.408050537109,0.00841769293970884,0.000533296886688436
"25",240,0.111223085063042,409.145385742188,0.00867283373928585,0.000514509166090988
"26",250,0.136449022949168,413.214233398438,0.00889830565978696,0.000495057252349164
"27",260,0.165621334691885,409.178100585938,0.00912377758028808,0.00047560533860734
"28",270,0.194144441910251,408.300994873047,0.0093229275807565,0.00045748044944762
"29",280,0.219012934085849,411.945098876953,0.00952207758122492,0.0004393555602879
"30",290,0.239765784605892,408.308013916016,0.00969983454327403,0.000424226242028161
"31",300,0.257308080569489,418.706726074219,0.00987759150532314,0.000409096923768421
"32",310,0.272815122311851,407.913909912109,0.0100401198863753,0.000398256537739675
"33",320,0.286903828885419,414.831176757812,0.0102026482674276,0.000387416151710929
"34",330,0.299595395413865,408.090728759766,0.0103569587119927,0.000381780150933792
"35",340,0.310968077198618,412.301025390625,0.0105112691565579,0.000376144150156656
"36",350,0.321932676492855,412.844024658203,0.0106648587220522,0.000376252892287466
"37",360,0.333029531242712,412.607452392578,0.0108184482875464,0.000376361634418276
"38",370,0.343345111473348,411.432464599609,0.0109790621170453,0.000382395946025933
"39",380,0.352185196929374,411.648376464844,0.0111396759465441,0.000388430257633589
"40",390,0.359655217066669,404.412963867188,0.0113148697322775,0.000400232913848931
"41",400,0.366100849557601,406.265350341797,0.011490063518011,0.000412035570064274
"42",410,0.371551863501548,398.428771972656,0.0116867763194993,0.00042914174318554
"43",420,0.375421553780093,399.967346191406,0.0118834891209876,0.000446247916306806
"44",430,0.376880003849511,398.774230957031,0.0121076545229754,0.000467926592096297
"45",440,0.375072185179636,397.315673828125,0.0123318199249631,0.000489605267885789
"46",450,0.36953248726766,399.251159667969,0.0125880384096695,0.000514914883666182
"47",460,0.359460003312251,392.94580078125,0.012844256894376,0.000540224499446576
"48",470,0.342761786239904,387.586456298828,0.013135542640441,0.000568082805583356
"49",480,0.316224548975114,385.900329589844,0.0134268283865061,0.000595941111720136
"50",490,0.277174160549857,386.33740234375,0.0137544787728218,0.000625206973065037
"51",500,0.227273717758342,385.954010009766,0.0140821291591375,0.000654472834409938
"52",510,0.174054399570861,382.346343994141,0.0144457353307379,0.000684035210456997
"53",520,0.129028383336797,379.826354980469,0.0148093415023382,0.000713597586504057
"54",530,0.103321871217786,385.093170166016,0.0152069462458374,0.000742464906978013
"55",540,0.101037680871129,381.440093994141,0.0156045509893366,0.000771332227451969
"56",550,0.116540161522133,384.835357666016,0.0160329463768042,0.000798714156761458
"57",560,0.138757520426863,384.820098876953,0.0164613417642718,0.000826096086070946
"58",570,0.157526024422592,377.125610351562,0.0169164855244384,0.000851469952108063
"59",580,0.167681148766846,387.388458251953,0.017371629284605,0.00087684381814518
"60",590,0.169292850897238,387.3115234375,0.0178491422789098,0.000899999187509631
"61",600,0.164749009296088,389.936157226562,0.0183266552732147,0.000923154556874081
"62",610,0.155017718348689,389.040557861328,0.0188223521359953,0.000944211556524549
"63",620,0.13893134551177,391.56005859375,0.0193180489987759,0.000965268556175016
"64",630,0.117243116505796,387.718139648438,0.0198284494138624,0.0009846683297968
"65",640,0.093896372493438,387.026245117188,0.0203388498289489,0.00100406810341858
"66",650,0.0739434193094425,384.186737060547,0.020861620131929,0.00102253684553315
"67",660,0.0603053963672157,383.619873046875,0.0213843904349091,0.00104100558764771
"68",670,0.0527137344902085,384.28271484375,0.0219186742012982,0.00105949638602699
"69",680,0.048640836919964,386.005645751953,0.0224529579676872,0.00107798718440628
"70",690,0.0457760688057153,389.208923339844,0.0229995692790247,0.00109760604481134
"71",700,0.0437465068523299,391.357513427734,0.0235461805903622,0.0011172249052164
"72",710,0.0434111071259563,398.092468261719,0.0241076520440597,0.00113914849724737
"73",720,0.0452821515075065,406.474670410156,0.0246691234977573,0.00116107208927834
