scorer,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000
bodyparts,upper_thorax,upper_thorax,upper_thorax,lower_bum,lower_bum,lower_bum
coords,x,y,likelihood,x,y,likelihood
0,47.78025817871094,198.04190063476562,1.0,50.42747116088867,216.9063720703125,1.0
1,47.90807342529297,198.06423950195312,1.0,50.9847412109375,217.04234313964844,1.0
2,47.871429443359375,198.08758544921875,1.0,50.756832122802734,217.06004333496094,1.0
3,47.87372970581055,198.0858612060547,1.0,50.756744384765625,217.05679321289062,1.0
4,47.87348175048828,198.08506774902344,1.0,50.763607025146484,217.0601806640625,1.0
5,47.909034729003906,198.03233337402344,1.0,51.61865234375,217.07662963867188,1.0
6,47.90727996826172,198.03665161132812,1.0,51.57357406616211,217.0803985595703,1.0
7,47.90728759765625,198.03712463378906,1.0,51.574684143066406,217.08094787597656,1.0
8,47.97713088989258,197.982177734375,1.0,52.54386520385742,217.0419464111328,1.0
9,47.957069396972656,197.9503173828125,1.0,53.00755310058594,217.01329040527344,1.0
10,47.959293365478516,197.94407653808594,1.0,53.06135177612305,217.00193786621094,1.0
11,47.959388732910156,197.94378662109375,1.0,53.061492919921875,217.00157165527344,1.0
12,47.904518127441406,197.88278198242188,1.0,53.81488037109375,217.0290985107422,1.0
13,47.90616989135742,197.88449096679688,1.0,53.79893493652344,217.03176879882812,1.0
14,47.88322448730469,197.88681030273438,1.0,53.710350036621094,217.04742431640625,1.0
15,47.88315200805664,197.88693237304688,1.0,53.710025787353516,217.04734802246094,1.0
16,47.9622688293457,197.906005859375,1.0,53.878353118896484,217.0469207763672,1.0
17,47.95938491821289,197.8818817138672,1.0,53.86393737792969,217.01548767089844,1.0
18,47.959014892578125,197.89102172851562,1.0,53.898948669433594,217.02914428710938,1.0
19,47.95911407470703,197.89208984375,1.0,53.8991584777832,217.02915954589844,1.0
20,47.97260284423828,197.88095092773438,1.0,53.711036682128906,216.99488830566406,1.0
21,47.97970199584961,197.8369903564453,1.0,53.10114288330078,216.92832946777344,1.0
22,47.994300842285156,197.86000061035156,1.0,53.169471740722656,216.97218322753906,1.0
23,47.993560791015625,197.86270141601562,1.0,53.165225982666016,216.97381591796875,1.0
24,47.95595169067383,197.77793884277344,1.0,53.55322265625,216.80740356445312,1.0
25,47.94629669189453,197.70538330078125,1.0,53.49483108520508,216.73020935058594,1.0
26,48.01494598388672,197.6923065185547,1.0,53.80582046508789,216.72869873046875,1.0
27,48.05605697631836,197.67559814453125,1.0,54.109561920166016,216.6781768798828,1.0
28,48.07118225097656,197.5933074951172,1.0,53.68080520629883,216.59512329101562,1.0
29,48.20054244995117,197.52078247070312,1.0,54.12725830078125,216.5366973876953,1.0
30,48.26136016845703,197.5592803955078,1.0,54.34762191772461,216.62088012695312,1.0
31,48.24333190917969,197.4969482421875,1.0,54.24233627319336,216.5541229248047,1.0
32,48.29119110107422,197.43519592285156,1.0,54.5272102355957,216.562744140625,1.0
33,48.34027862548828,197.462890625,1.0,54.27385711669922,216.62318420410156,1.0
34,48.384544372558594,197.61859130859375,1.0,53.029605865478516,216.89427185058594,1.0
35,48.47315216064453,197.71707153320312,1.0,53.19496536254883,217.1325225830078,1.0
36,48.64693832397461,198.02532958984375,1.0,54.12298583984375,217.87001037597656,1.0
37,48.69499588012695,197.99868774414062,1.0,54.35541915893555,217.9908447265625,1.0
38,48.535423278808594,197.96966552734375,1.0,54.288002014160156,217.90463256835938,1.0
39,48.14537048339844,197.92605590820312,1.0,53.79404067993164,217.61492919921875,1.0
40,47.95435333251953,197.81349182128906,1.0,53.95927429199219,217.3956298828125,1.0
