scorer,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000
bodyparts,upper_thorax,upper_thorax,upper_thorax,lower_bum,lower_bum,lower_bum
coords,x,y,likelihood,x,y,likelihood
0,50.68412780761719,128.66513061523438,1.0,45.281761169433594,151.56629943847656,1.0
1,50.6932487487793,128.68592834472656,1.0,45.25286102294922,151.56204223632812,1.0
2,50.65616989135742,128.69747924804688,1.0,45.104251861572266,151.50791931152344,1.0
3,50.67469787597656,128.6815948486328,1.0,45.08152389526367,151.50839233398438,1.0
4,50.636444091796875,128.70059204101562,1.0,44.963714599609375,151.4947052001953,1.0
5,50.62009811401367,128.70925903320312,1.0,45.0025634765625,151.53297424316406,1.0
6,50.602420806884766,128.6966094970703,1.0,44.9905891418457,151.5333251953125,1.0
7,50.69180679321289,128.9480743408203,1.0,44.94638442993164,151.64129638671875,1.0
8,50.69480514526367,128.89541625976562,1.0,44.92709732055664,151.6082000732422,1.0
9,50.69517517089844,128.89068603515625,1.0,44.92844772338867,151.6034698486328,1.0
10,50.69396209716797,128.8919219970703,1.0,44.93195724487305,151.60256958007812,1.0
11,50.70460510253906,128.7727508544922,1.0,44.89056396484375,151.49911499023438,1.0
12,50.714683532714844,128.8079376220703,1.0,44.8889045715332,151.47291564941406,1.0
13,50.724822998046875,128.77305603027344,1.0,44.8858642578125,151.43905639648438,1.0
14,50.7520866394043,128.78187561035156,1.0,44.7823600769043,151.2512664794922,1.0
15,50.75413131713867,128.81736755371094,1.0,44.78376388549805,151.30010986328125,1.0
16,50.68657302856445,128.8138885498047,1.0,44.69956970214844,151.25570678710938,1.0
17,50.68156433105469,128.69444274902344,1.0,44.706634521484375,151.2028045654297,1.0
18,50.64669418334961,128.7230682373047,1.0,44.94953918457031,151.33154296875,1.0
19,50.62637710571289,128.50265502929688,1.0,45.05889129638672,151.40931701660156,1.0
20,50.52199935913086,128.37826538085938,1.0,45.13405227661133,151.158935546875,1.0
21,50.551387786865234,128.1127471923828,1.0,45.16440200805664,150.84034729003906,1.0
22,50.491661071777344,128.1335906982422,1.0,45.222774505615234,151.00662231445312,1.0
23,50.33098602294922,127.95326232910156,1.0,45.32240676879883,150.66195678710938,1.0
24,50.31520462036133,127.8137435913086,1.0,45.43758773803711,150.59820556640625,1.0
25,50.270111083984375,127.83426666259766,1.0,45.462833404541016,150.67105102539062,1.0
26,50.29399108886719,127.69830322265625,1.0,45.44524002075195,150.60829162597656,1.0
27,50.30553436279297,127.72679901123047,1.0,45.459388732910156,150.65591430664062,1.0
28,50.26099395751953,127.65925598144531,1.0,45.26030349731445,150.50759887695312,1.0
29,50.27125930786133,127.66184997558594,1.0,45.26832962036133,150.6241912841797,1.0
30,50.327171325683594,127.7008056640625,1.0,45.127281188964844,150.5286865234375,1.0
31,50.3018798828125,127.61921691894531,1.0,45.15819549560547,150.49139404296875,1.0
32,50.2445182800293,127.46220397949219,1.0,45.14258575439453,150.35330200195312,1.0
33,50.284393310546875,127.33796691894531,1.0,45.04639434814453,150.13619995117188,1.0
34,50.32914733886719,127.23734283447266,1.0,44.95048904418945,149.96275329589844,1.0
35,50.32449722290039,127.21856689453125,1.0,44.93315505981445,149.87991333007812,1.0
36,50.378334045410156,127.2009048461914,1.0,44.67949676513672,149.65130615234375,1.0
37,50.39151382446289,127.23448181152344,1.0,44.69131088256836,149.63026428222656,1.0
38,50.374847412109375,127.19667053222656,1.0,44.46234130859375,149.490478515625,1.0
39,50.349525451660156,127.13703918457031,1.0,44.4337043762207,149.44155883789062,1.0
