scorer,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000
bodyparts,upper_thorax,upper_thorax,upper_thorax,lower_bum,lower_bum,lower_bum
coords,x,y,likelihood,x,y,likelihood
0,120.7119369506836,161.3444061279297,1.0,118.0948486328125,182.7171173095703,1.0
1,120.08502960205078,161.54534912109375,1.0,117.28430938720703,183.00613403320312,1.0
2,119.66687774658203,161.8265380859375,1.0,119.24501037597656,182.77279663085938,1.0
3,119.52123260498047,161.83889770507812,1.0,116.83207702636719,183.17127990722656,1.0
4,119.06719970703125,162.01739501953125,1.0,118.62289428710938,183.07180786132812,1.0
5,119.1020278930664,162.0078582763672,1.0,118.65980529785156,182.8878631591797,1.0
6,118.85984802246094,161.92446899414062,1.0,118.35379028320312,182.68984985351562,1.0
7,118.26204681396484,162.09507751464844,1.0,117.72610473632812,182.90707397460938,1.0
8,117.98365783691406,162.1389923095703,1.0,116.64334869384766,182.64842224121094,1.0
9,117.76766967773438,162.05343627929688,1.0,116.14326477050781,182.46621704101562,1.0
10,117.5112533569336,162.14999389648438,1.0,115.35173797607422,182.43585205078125,1.0
11,117.08052825927734,162.16961669921875,1.0,114.92166900634766,182.30316162109375,1.0
12,116.7184066772461,162.32260131835938,1.0,114.70309448242188,182.5891571044922,1.0
13,116.34077453613281,162.15447998046875,1.0,114.49922180175781,182.79298400878906,1.0
14,116.30154418945312,162.19383239746094,1.0,114.55987548828125,182.73094177246094,1.0
15,115.99581146240234,161.88043212890625,1.0,113.66419219970703,182.234130859375,1.0
16,116.0403060913086,161.8724822998047,1.0,113.73895263671875,182.21951293945312,1.0
17,115.69185638427734,161.87661743164062,1.0,113.23330688476562,182.3447265625,1.0
18,115.55147552490234,161.97561645507812,1.0,112.86000061035156,182.40757751464844,1.0
19,115.51954650878906,161.84095764160156,1.0,112.69515991210938,182.2081756591797,1.0
20,115.39095306396484,161.9402313232422,1.0,112.40293884277344,182.4073486328125,1.0
21,115.44641876220703,161.94740295410156,1.0,112.22283172607422,182.34974670410156,1.0
22,115.29967498779297,161.9431610107422,1.0,111.76190185546875,182.6497039794922,1.0
23,114.47586059570312,162.24285888671875,1.0,111.37490844726562,182.5211181640625,1.0
24,114.38580322265625,162.2477569580078,1.0,111.20285034179688,182.7225799560547,1.0
25,114.40404510498047,162.2255096435547,1.0,111.01734924316406,182.62039184570312,1.0
26,114.31056213378906,162.111572265625,1.0,110.73223876953125,182.62417602539062,1.0
27,114.25914001464844,162.22103881835938,1.0,110.42379760742188,182.69589233398438,1.0
28,114.16446685791016,162.20736694335938,1.0,110.18831634521484,182.6559600830078,1.0
29,114.15374755859375,162.1849365234375,1.0,110.17793273925781,182.57106018066406,1.0
30,113.98662567138672,162.25665283203125,1.0,111.51944732666016,182.3751678466797,1.0
31,113.62521362304688,162.23031616210938,1.0,111.42633819580078,182.41053771972656,1.0
32,113.42436218261719,162.6398468017578,1.0,111.35945129394531,182.56613159179688,1.0
33,113.22998809814453,162.62217712402344,1.0,111.24901580810547,182.62132263183594,1.0
34,113.143798828125,162.73770141601562,1.0,111.18541717529297,182.7221221923828,1.0
35,112.8823471069336,163.01556396484375,1.0,111.1742172241211,182.98072814941406,1.0
36,112.68190002441406,162.97390747070312,1.0,111.1743392944336,183.12442016601562,1.0
37,112.57083129882812,162.9862518310547,1.0,110.59318542480469,183.79566955566406,1.0
38,112.54364776611328,162.88406372070312,1.0,110.21439361572266,183.694091796875,1.0
39,112.56251525878906,162.5595245361328,1.0,109.72232055664062,183.1118621826172,1.0
40,112.38197326660156,161.85220336914062,1.0,109.4198226928711,181.60728454589844,1.0
