scorer,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000
bodyparts,upper_thorax,upper_thorax,upper_thorax,lower_bum,lower_bum,lower_bum
coords,x,y,likelihood,x,y,likelihood
0,67.8209457397461,83.05973052978516,1.0,67.42138671875,101.9296875,1.0
1,67.78775024414062,83.00849914550781,1.0,67.63224792480469,101.83273315429688,1.0
2,67.80644226074219,83.07290649414062,1.0,67.45101928710938,101.90219116210938,1.0
3,67.8845443725586,83.23030853271484,1.0,67.18473052978516,102.00714874267578,1.0
4,68.1288070678711,83.28933715820312,1.0,67.30280303955078,102.08866882324219,1.0
5,68.18051147460938,83.39781951904297,1.0,67.49898529052734,102.12562561035156,1.0
6,68.19119262695312,83.44807434082031,1.0,67.74642944335938,102.18338012695312,1.0
7,68.038818359375,83.4906005859375,1.0,67.8094482421875,102.25469207763672,1.0
8,68.02999114990234,83.54895782470703,1.0,67.76006317138672,102.27822875976562,1.0
9,67.427001953125,84.08056640625,1.0,67.64823913574219,102.41590118408203,1.0
10,67.41374206542969,84.13994598388672,1.0,67.68138122558594,102.46240234375,1.0
11,67.5445327758789,84.28894805908203,1.0,67.61260223388672,102.5174560546875,1.0
12,67.78661346435547,84.4952392578125,1.0,67.8740005493164,102.55459594726562,1.0
13,67.97425842285156,84.61228942871094,1.0,67.8649673461914,102.60568237304688,1.0
14,67.95523834228516,84.99583435058594,1.0,67.86837005615234,102.72077178955078,1.0
15,67.80074310302734,85.2282485961914,1.0,67.65257263183594,102.77871704101562,1.0
16,67.73250579833984,85.34220123291016,1.0,67.5042953491211,102.88899230957031,1.0
17,67.82687377929688,85.39891815185547,1.0,67.58768463134766,102.88682556152344,1.0
18,67.60787200927734,85.41340637207031,1.0,67.32136535644531,102.87841796875,1.0
19,67.44593811035156,85.44880676269531,1.0,67.07562255859375,102.84679412841797,1.0
20,67.31047058105469,85.26460266113281,1.0,67.18096160888672,102.72473907470703,1.0
21,67.2765121459961,85.12456512451172,1.0,67.31830596923828,102.63965606689453,1.0
22,67.18234252929688,84.912109375,1.0,67.34423828125,102.40887451171875,1.0
23,66.94476318359375,84.57422637939453,1.0,67.5648193359375,102.13153839111328,1.0
24,67.36759185791016,84.04985046386719,1.0,67.4736099243164,101.97789764404297,1.0
25,67.29493713378906,83.83248901367188,1.0,67.41619873046875,101.98114776611328,1.0
26,67.0694808959961,83.7427978515625,1.0,66.94686126708984,101.79730224609375,1.0
27,66.65447235107422,83.79052734375,1.0,66.84369659423828,101.90583801269531,1.0
28,66.50886535644531,83.45571899414062,1.0,65.70560455322266,101.01265716552734,1.0
29,66.1968994140625,83.20057678222656,1.0,65.26972198486328,101.01161193847656,1.0
30,66.20997619628906,83.01106262207031,1.0,65.33877563476562,100.86865234375,1.0
31,66.1186294555664,83.04951477050781,1.0,65.12806701660156,100.84669494628906,1.0
32,66.00718688964844,83.03112030029297,1.0,65.01942443847656,100.76895904541016,1.0
33,65.8582992553711,83.1251449584961,1.0,64.8381576538086,100.95268249511719,1.0
34,65.70053100585938,83.16089630126953,1.0,64.88485717773438,100.87511444091797,1.0
35,65.37147521972656,83.39868927001953,1.0,64.6628189086914,100.9230728149414,1.0
36,65.1893310546875,83.53365325927734,1.0,64.66110229492188,100.98372650146484,1.0
37,65.13261413574219,83.58718872070312,1.0,64.6827163696289,100.91349792480469,1.0
38,64.92051696777344,83.74935150146484,1.0,64.58084106445312,100.98188018798828,1.0
39,64.30415344238281,83.59652709960938,1.0,64.77762603759766,100.97357940673828,1.0
40,64.35981750488281,83.65972900390625,1.0,64.72724914550781,100.91285705566406,1.0
