scorer,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000
bodyparts,upper_thorax,upper_thorax,upper_thorax,lower_bum,lower_bum,lower_bum
coords,x,y,likelihood,x,y,likelihood
0,323.15545654296875,54.686710357666016,1.0,321.7511901855469,74.41515350341797,1.0
1,323.046630859375,54.6209602355957,1.0,321.77496337890625,74.3992691040039,1.0
2,322.9794006347656,54.59693145751953,1.0,321.68585205078125,74.28781127929688,1.0
3,322.99346923828125,54.579307556152344,1.0,321.4289245605469,74.41639709472656,1.0
4,322.9339904785156,54.56280517578125,1.0,321.26239013671875,74.30233764648438,1.0
5,322.94683837890625,54.54371643066406,1.0,321.1933288574219,74.3283462524414,1.0
6,322.9676208496094,54.51066970825195,1.0,321.0102844238281,74.25495147705078,1.0
7,322.9356384277344,54.59760284423828,1.0,320.917236328125,74.21343994140625,1.0
8,322.91015625,54.644283294677734,1.0,320.8937683105469,74.22178649902344,1.0
9,322.829345703125,54.692745208740234,1.0,320.9234619140625,74.28469848632812,1.0
10,322.7438659667969,54.749080657958984,1.0,320.8666076660156,74.2940444946289,1.0
11,322.5597229003906,54.771331787109375,1.0,320.89935302734375,74.68956756591797,1.0
12,322.5885314941406,54.843505859375,1.0,320.8934020996094,74.63627624511719,1.0
13,322.5242919921875,54.863136291503906,1.0,320.9064636230469,74.66345977783203,1.0
14,322.53289794921875,54.870994567871094,1.0,320.9001770019531,74.71690368652344,1.0
15,322.5292053222656,54.91327667236328,1.0,320.9040222167969,74.72036743164062,1.0
16,322.4999084472656,54.80323028564453,1.0,320.74481201171875,74.75984191894531,1.0
17,322.4875793457031,54.90632247924805,1.0,320.7662658691406,75.06700134277344,1.0
18,322.4638977050781,54.80642318725586,1.0,320.62518310546875,75.377197265625,1.0
19,322.5191955566406,54.83846664428711,1.0,320.452392578125,75.63141632080078,1.0
20,322.5205383300781,54.85617446899414,1.0,320.3721923828125,75.64306640625,1.0
21,322.4732360839844,54.97159957885742,1.0,320.26043701171875,75.70404815673828,1.0
22,322.3921813964844,54.858482360839844,1.0,320.2837219238281,75.51409912109375,1.0
23,322.4272155761719,54.88268280029297,1.0,320.41552734375,75.41854858398438,1.0
24,322.36846923828125,54.806495666503906,1.0,320.48504638671875,75.0586929321289,1.0
25,322.37725830078125,54.850345611572266,1.0,320.53619384765625,75.08941650390625,1.0
26,322.4452209472656,54.67572021484375,1.0,320.7457275390625,74.78687286376953,1.0
27,322.45166015625,54.66764450073242,1.0,320.8071594238281,74.67593383789062,1.0
28,322.4957580566406,54.535884857177734,1.0,320.7703552246094,74.27113342285156,1.0
29,322.5998840332031,54.618194580078125,1.0,320.9773864746094,74.23136138916016,1.0
30,322.7721252441406,54.57054138183594,1.0,321.1564025878906,73.8980941772461,1.0
31,323.1395263671875,54.46879959106445,1.0,321.35577392578125,73.22187805175781,1.0
32,323.2334289550781,54.43815231323242,1.0,321.4814147949219,73.02767944335938,1.0
33,323.2204284667969,54.29405975341797,1.0,321.6357727050781,72.87560272216797,1.0
34,323.2574157714844,54.01118469238281,1.0,321.62042236328125,72.75374603271484,1.0
35,323.4231872558594,53.799564361572266,1.0,321.656494140625,72.64270782470703,1.0
36,323.7367248535156,53.0786018371582,1.0,321.59271240234375,71.96427154541016,1.0
37,323.7763366699219,52.924652099609375,1.0,321.60797119140625,71.80966186523438,1.0
38,323.9441833496094,52.756019592285156,1.0,321.49951171875,71.49401092529297,1.0
39,324.2855529785156,52.60648727416992,1.0,321.7314453125,71.51687622070312,1.0
40,324.5639343261719,52.30778884887695,1.0,321.7888488769531,71.34933471679688,1.0
