scorer,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000
bodyparts,upper_thorax,upper_thorax,upper_thorax,lower_bum,lower_bum,lower_bum
coords,x,y,likelihood,x,y,likelihood
0,86.7610855102539,140.7860870361328,1.0,84.2407455444336,161.85540771484375,1.0
1,86.7610855102539,141.1458740234375,1.0,84.34736633300781,162.331787109375,1.0
2,86.7610855102539,141.2174835205078,1.0,84.93862915039062,163.268798828125,1.0
3,86.6916732788086,141.30723571777344,1.0,85.01454162597656,163.45068359375,1.0
4,86.6869125366211,141.53648376464844,1.0,85.1305923461914,163.68850708007812,1.0
5,86.6869125366211,141.60252380371094,1.0,85.15072631835938,163.6922607421875,1.0
6,86.6869125366211,141.733642578125,1.0,85.35160827636719,163.6922607421875,1.0
7,86.78054809570312,141.83753967285156,1.0,85.35456085205078,163.80284118652344,1.0
8,87.02777099609375,141.8479766845703,1.0,85.43313598632812,163.80836486816406,1.0
9,87.24720764160156,141.83753967285156,1.0,85.609130859375,163.80284118652344,1.0
10,87.61378479003906,141.733642578125,1.0,85.91726684570312,163.66351318359375,1.0
11,88.1389389038086,141.65576171875,1.0,86.0043716430664,163.50228881835938,1.0
12,88.1389389038086,141.65576171875,1.0,86.0043716430664,163.41107177734375,1.0
13,88.1389389038086,141.65576171875,1.0,86.0043716430664,163.30685424804688,1.0
14,87.87232208251953,141.73544311523438,1.0,85.95741271972656,163.23414611816406,1.0
15,87.51707458496094,141.75721740722656,1.0,85.61328887939453,163.23414611816406,1.0
16,87.41574096679688,142.222900390625,1.0,85.61328887939453,163.23414611816406,1.0
17,87.41574096679688,142.2509765625,1.0,85.61328887939453,163.24908447265625,1.0
18,87.41574096679688,142.38475036621094,1.0,85.9286880493164,163.41822814941406,1.0
19,87.43074035644531,142.49058532714844,1.0,86.13031768798828,163.50035095214844,1.0
20,87.49930572509766,142.50970458984375,1.0,86.22096252441406,163.57492065429688,1.0
21,87.61629486083984,142.8137664794922,1.0,86.6085205078125,163.968994140625,1.0
22,87.81175994873047,143.01007080078125,1.0,86.63621520996094,164.09027099609375,1.0
23,87.96379089355469,143.04380798339844,1.0,86.80797576904297,164.0923309326172,1.0
24,87.96379089355469,143.1136016845703,1.0,87.05315399169922,164.0923309326172,1.0
25,87.96379089355469,143.13304138183594,1.0,87.38228607177734,164.0923309326172,1.0
26,87.64981079101562,143.13304138183594,1.0,87.72920227050781,163.7879180908203,1.0
27,87.64981079101562,143.13304138183594,1.0,88.06993103027344,163.21975708007812,1.0
28,87.64981079101562,142.47073364257812,1.0,88.08795928955078,162.38043212890625,1.0
29,87.86658477783203,142.47073364257812,1.0,88.16869354248047,162.38043212890625,1.0
30,88.04257202148438,142.47073364257812,1.0,89.02710723876953,162.38043212890625,1.0
31,88.1374282836914,143.21182250976562,1.0,90.64134979248047,163.0798797607422,1.0
32,88.3239974975586,144.19082641601562,1.0,91.11810302734375,164.2082061767578,1.0
33,88.3239974975586,144.9839324951172,1.0,91.3283920288086,165.10365295410156,1.0
34,88.3239974975586,144.9839324951172,1.0,92.03374481201172,165.10365295410156,1.0
35,88.20013427734375,144.9839324951172,1.0,92.4740219116211,165.10365295410156,1.0
36,87.5651626586914,144.8519287109375,1.0,92.74578857421875,164.3772430419922,1.0
37,87.2315444946289,144.6985321044922,1.0,92.79109191894531,163.9185791015625,1.0
38,87.09046936035156,144.30125427246094,1.0,92.82477569580078,163.10850524902344,1.0
39,86.98343658447266,143.6058349609375,1.0,92.82477569580078,162.75111389160156,1.0
40,86.98343658447266,143.5827178955078,1.0,92.79631042480469,162.6260986328125,1.0
