"","videonames","duration","angles","individual","locomote_posture","acc_nearest_env_peak","acc_nearest_f0_peak","maxf0","synchrony","maxacc","maxamp"
"32","18_June_session1_8_9",2720,2,"Fajar","110_LOCOMOTE_Drop_forelimb_swing",0.0312570622229265,390.437994215224,764.674303690592,50,0.00743408483313348,0.518058097792572
"33","21_August_session1_0_1",3400,4,"Fajar","56_LOCOMOTE_forelimb_swing",0.0148603189967551,439.255862765842,783.203603108724,70,0.00508851759111503,0.566136524569617
"34","21_August_session1_1_2",3260,3,"Fajar","56_LOCOMOTE_forelimb_swing",0.0102227988916034,415.247880723741,761.896642049154,10,0.00367558116672978,0.772755988384123
"35","21_August_session1_11_12",3620,2,"Fajar","undefined",0.00926641186867773,455.186085595025,796.815337004485,50,0.00489507839599536,0.52104219354742
"36","21_August_session1_13_14",3640,1,"Fajar","112_LOCOMOTE_Clamber_walk",0.00585413944747056,417.164279513889,726.132495456272,40,0.00160059914406359,0.433583611900553
"37","21_August_session1_15_16",3520,1,"Fajar","undefined",0.00837817209398914,401.346052381727,796.35041724311,30,0.00291766649484043,0.54678195372527
"38","21_August_session1_3_4",3340,3,"Fajar","56_LOCOMOTE_forelimb_swing",0.0126485674560737,388.10992996781,791.672908399471,0,0.00378096381924885,0.736891153645205
"39","21_August_session1_4_5",3260,3,"Fajar","56_LOCOMOTE_forelimb_swing",0.00781634498147166,419.141607213903,770.97602420383,60,0.00278145877648928,0.547973733914556
"40","21_August_session1_5_6",2900,2,"Fajar","26_LOCOMOTE_Bimanual_pull_up",0.00904738922461442,403.035666006583,776.692949930827,20,0.00196254870996269,0.595355477907588
"41","21_August_session1_9_10",3780,2,"Fajar","4_Bimanual_forelimb_suspend",0.0137016096202558,433.175568757234,784.016986423069,30,0.00523356112028212,0.602294095433509
"42","24_August_session1_0_1",3140,2,"Fajar","undefined",0.0590516981988526,386.203643798828,782.2252146403,50,0.0033664845775024,0.441693626898503
"43","24_August_session1_1_2",2620,1,"Fajar","undefined",0.0830124491350542,406.955139160156,681.203203837077,40,0.00193245606885604,0.43861571426898
"44","24_August_session1_3_4",3000,1,"Fajar","undefined",0.0499504231498011,385.2833376284,783.856654696994,80,0.00194450554409619,0.349607987618006
"45","11_June_session1_4_5",2580,2,"Baju","111_LOCOMOTE_Vertical_climb",0.0233823956443368,511.922244601779,780.812945048014,40,0.00428165551046564,0.570884023155963
"46","11_June_session1_5_6",2880,1,"Baju","111_LOCOMOTE_Vertical_climb",0.0260729059068006,520.405665079753,771.848665025499,120,0.00206948514820396,0.827036152815792
"47","11_June_session1_6_7",2340,1,"Baju","56_LOCOMOTE_forelimb_swing",0.263027288295364,485.105093496817,536.592701099537,10,0.0042968571919362,0.966528058564914
"48","11_June_session2_2_3",2500,1,"Baju","31_LOCOMOTE_Brachiate",0.247033464090824,510.549110742263,793.80371178521,390,0.00654607087133589,0.681002208438348
"49","11_June_session2_3_4",2640,2,"Baju","112_LOCOMOTE_Clamber_walk",0.0622846255778884,497.162535490813,720.042050679525,100,0.00536449464433682,0.856213509243898
